course_id,provider,institution,title,subject,url,price,level,num_subscribers,num_lectures,num_reviews,rating,content_duration,language,published_timestamp
e-27,edx,Harvard University,Data Science: Machine Learning,Data Analysis & Statistics,https://www.edx.org/course/data-science-machine-learning,49.0,Introductory,276209,0,0,0,24.0,English,
e-28,edx,Harvard University,Child Protection: Children's Rights in Theory and Practice,Social Sciences,https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr,99.0,Introductory,212453,0,0,0,64.0,English,
e-29,edx,The University of Queensland,IELTS Academic Test Preparation,Communication,https://www.edx.org/course/ielts-academic-test-preparation,99.0,Introductory,1103777,0,0,0,60.0,English,
e-30,edx,Harvard University,The Architectural Imagination,Architecture,https://www.edx.org/course/the-architectural-imagination,99.0,Introductory,406181,0,0,0,40.0,English,
e-31,edx,Educational Testing Service,TOEFL® Test Preparation: The Insider’s Guide,Communication,https://www.edx.org/course/toefl-test-preparation-the-insiders-guide,49.0,Introductory,1022489,0,0,0,18.0,English,
e-32,edx,Harvard University,Principles of Biochemistry,Medicine,https://www.edx.org/course/principles-of-biochemistry,199.0,Intermediate,257600,0,0,0,75.0,English,
e-33,edx,Harvard University,Using Python for Research,Computer Science,https://www.edx.org/course/using-python-for-research,99.0,Intermediate,262183,0,0,0,36.0,English,
e-34,edx,Harvard University,Hinduism Through Its Scriptures,Humanities,https://www.edx.org/course/hinduism-through-its-scriptures,99.0,Introductory,140782,0,0,0,30.0,English,
e-35,edx,Universitat Politècnica de Valencia,Basic Spanish 1: Getting Started,Communication,https://www.edx.org/course/basic-spanish-1-getting-started,40.0,Introductory,400169,0,0,0,31.5,English,
e-36,edx,Harvard University,The Health Effects of Climate Change,Environmental Studies,https://www.edx.org/course/the-health-effects-of-climate-change,99.0,Introductory,110024,0,0,0,28.0,English,
e-37,edx,Universidades Anáhuac,Inglés básico: conversacional y networking,Business & Management,https://www.edx.org/course/fundamentos-de-ingles-basico-conversacional-y-networking,49.0,Introductory,79671,0,0,0,26.0,Español,
e-38,edx,Harvard University,Statistics and R,Data Analysis & Statistics,https://www.edx.org/course/statistics-and-r,249.0,Intermediate,314586,0,0,0,12.0,English,
e-39,edx,Harvard University,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),Chemistry,https://www.edx.org/course/science-cooking-from-haute-cuisine-to-soft-matter,199.0,Introductory,145011,0,0,0,40.0,English,
e-40,edx,Harvard University,Pyramids of Giza: Ancient Egyptian Art and Archaeology,Art & Culture,https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol,99.0,Introductory,123870,0,0,0,24.0,English,
e-41,edx,Harvard University,"PredictionX: Omens, Oracles & Prophecies",Social Sciences,https://www.edx.org/course/omens-oracles-prophecies,25.0,Introductory,91566,0,0,0,4.0,English,
e-42,edx,Universitat Politècnica de Valencia,Excel: Fundamentos y herramientas,Computer Science,https://www.edx.org/course/excel-fundamentos-y-herramientas,50.0,Introductory,284279,0,0,0,28.0,Español,
e-43,edx,Harvard University,Lessons from Ebola: Preventing the Next Pandemic,Social Sciences,https://www.edx.org/course/lessons-from-ebola-preventing-the-next-pandemic,49.0,Introductory,91983,0,0,0,16.0,English,
e-44,edx,Harvard University,Improving Global Health: Focusing on Quality and Safety,Social Sciences,https://www.edx.org/course/improving-global-health-focusing-on-quality-and-sa,99.0,Intermediate,127353,0,0,0,30.0,English,
