course_id,provider,institution,title,subject,url,price,level,num_subscribers,num_lectures,num_reviews,rating,content_duration,language,published_timestamp
neural-networks-deep-learning,coursera,DeepLearning.AI,Neural Networks and Deep Learning,,https://www.coursera.org/learn/neural-networks-deep-learning,0,,0,0,12292.0,4.77123332248617,0,,2017-08-09
what-is-datascience,coursera,IBM,What is Data Science?,,https://www.coursera.org/learn/what-is-datascience,0,,0,0,7397.0,4.622820062187373,0,,2018-03-28
negotiation-skills,coursera,University of Michigan,Successful Negotiation: Essential Strategies and Skills,,https://www.coursera.org/learn/negotiation-skills,0,,0,0,2869.0,4.805507145346811,0,,2015-08-07
uva-darden-project-management,coursera,University of Virginia,Fundamentals of Project Planning and Management,,https://www.coursera.org/learn/uva-darden-project-management,0,,0,0,1132.0,4.764134275618375,0,,2015-11-04
project-management,coursera,"University of California, Irvine",Project Launch,,https://www.coursera.org/learn/project-management,0,,0,0,36.0,4.361111111111111,0,,2017-10-13
brand,coursera,London Business School,"Brand Management: Aligning Business, Brand and Behaviour",,https://www.coursera.org/learn/brand,0,,0,0,1091.0,4.8964252978918426,0,,2018-03-22
sciwrite,coursera,Stanford University,Writing in the Sciences,,https://www.coursera.org/learn/sciwrite,0,,0,0,1286.0,4.919129082426127,0,,2017-09-17
food-and-health,coursera,Stanford University,Stanford Introduction to Food and Health,,https://www.coursera.org/learn/food-and-health,0,,0,0,4965.0,4.693655589123867,0,,2016-01-18
html-css-javascript-for-web-developers,coursera,Johns Hopkins University,"HTML, CSS, and Javascript for Web Developers",,https://www.coursera.org/learn/html-css-javascript-for-web-developers,0,,0,0,3186.0,4.758631512868801,0,,2016-02-16
excel-essentials,coursera,Macquarie University,Excel Skills for Business: Essentials,,https://www.coursera.org/learn/excel-essentials,0,,0,0,7377.0,4.888301477565406,0,,2017-11-06
negotiation,coursera,Yale University,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,,https://www.coursera.org/learn/negotiation,0,,0,0,1038.0,4.883429672447013,0,,2015-08-07
everyday-excel-part-1,coursera,University of Colorado Boulder,"Everyday Excel, Part 1",,https://www.coursera.org/learn/everyday-excel-part-1,0,,0,0,303.0,4.755775577557756,0,,2020-04-07
learning-how-to-learn,coursera,University of California San Diego,Learning How to Learn: Powerful mental tools to help you master tough subjects,,https://www.coursera.org/learn/learning-how-to-learn,0,,0,0,11871.0,4.801196192401651,0,,2015-08-07
gcp-fundamentals,coursera,Google Cloud,Google Cloud Platform Fundamentals: Core Infrastructure,,https://www.coursera.org/learn/gcp-fundamentals,0,,0,0,5935.0,4.694018534119629,0,,2016-12-21
wharton-contagious-viral-marketing,coursera,University of Pennsylvania,Viral Marketing and How to Craft Contagious Content,,https://www.coursera.org/learn/wharton-contagious-viral-marketing,0,,0,0,1303.0,4.7544128933231,0,,2015-11-29
python-data,coursera,University of Michigan,Python Data Structures,,https://www.coursera.org/learn/python-data,0,,0,0,11422.0,4.849851164419541,0,,2015-09-03
private-equity,coursera,Università Bocconi,Private Equity and Venture Capital,,https://www.coursera.org/learn/private-equity,0,,0,0,1102.0,4.762250453720508,0,,2015-10-14
learn-korean,coursera,Yonsei University,First Step Korean,,https://www.coursera.org/learn/learn-korean,0,,0,0,5993.0,4.869848156182212,0,,2016-02-09
introduction-tensorflow,coursera,DeepLearning.AI,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",,https://www.coursera.org/learn/introduction-tensorflow,0,,0,0,2596.0,4.650616332819722,0,,2019-03-07
os-power-user,coursera,Google,Operating Systems and You: Becoming a Power User,,https://www.coursera.org/learn/os-power-user,0,,0,0,2199.0,4.503410641200546,0,,2018-01-25
