course_id,provider,institution,title,subject,url,price,level,num_subscribers,num_lectures,num_reviews,rating,content_duration,language,published_timestamp
u-861742,udemy,udemy,Motion Graphic With After Effect From Scratch in 5 Hours,Graphic Design,https://www.udemy.com/motion-graphic-with-ae/,30,All Levels,50,45,7,,4.0,,2016-06-01
u-817074,udemy,udemy,Introduction to Photoshop CC: Tutorials for Beginners,Graphic Design,https://www.udemy.com/introduction-to-photoshop-cc-tutorials-for-beginners/,20,Beginner Level,262,12,0,,1.0,,2016-04-10
u-286160,udemy,udemy,Making Killer Images in Photoshop that WOW Clients!,Graphic Design,https://www.udemy.com/killer-photoshop-images/,95,Intermediate Level,45,26,1,,5.0,,2014-10-25
u-788722,udemy,udemy,Simple Photoshop CC: Smart Objects,Graphic Design,https://www.udemy.com/simple-photoshop-cc-smart-objects/,20,Intermediate Level,272,11,0,,0.5,,2016-03-15
u-1008654,udemy,udemy,Learn Photo Manipulation - Build 3 projects,Graphic Design,https://www.udemy.com/learn-photo-manipulation-build-3-projects/,40,All Levels,10,18,1,,2.5,,2016-11-27
u-964478,udemy,udemy,Zombie Apocalypse Photoshop Actions,Graphic Design,https://www.udemy.com/zombie-apocalypse-photoshop-actions/,50,All Levels,12,15,1,,1.5,,2016-09-26
u-953220,udemy,udemy,Creative Perspective Illustration with GIMP,Graphic Design,https://www.udemy.com/creative-perspective/,50,All Levels,43,57,3,,6.5,,2016-11-24
u-64078,udemy,udemy,iPhone icons in iOS7 - learn flat design,Graphic Design,https://www.udemy.com/iphone-icon-secrets-flat-design/,20,All Levels,165,41,4,,3.0,,2013-08-21
u-1046540,udemy,udemy,How to draw professional manga artwork by Punix,Graphic Design,https://www.udemy.com/punix_drawface/,35,Beginner Level,83,17,3,,1.5,,2017-04-17
u-622284,udemy,udemy,How do I Create a Stylized Graphics from Images in Photoshop,Graphic Design,https://www.udemy.com/how-do-i-create-a-stylized-graphics-from-images-in-photoshop/,50,All Levels,17,12,1,,1.0,,2015-09-28
u-31150,udemy,udemy,Advance Design of Logos and Brand Identity,Graphic Design,https://www.udemy.com/advance-design-of-logos-and-brand-identity/,20,All Levels,34,38,4,,2.0,,2013-02-16
u-574132,udemy,udemy,Como utilizar o Corel Draw por completo!,Graphic Design,https://www.udemy.com/como-utilizar-o-corel-draw-por-completo/,30,All Levels,293,44,32,,7.0,,2015-08-17
