course_id,rating,reviewers,date_reviews
data-analysis-with-python,4.43194925028835,1734,2018-05-11
data-analytics-for-lean-six-sigma,4.87481590574374,679,2017-02-24
data-lakes-data-warehouses-gcp,4.604444444444445,225,2020-01-03
data-management,4.6875,128,2016-03-01
data-science-k-means-clustering-python,4.6,80,2019-06-04
data-science-methodology,4.338389731621937,1714,2018-04-20
data-scientists-tools,4.4799070076386585,6022,2015-12-01
data-visualization-tableau,4.304393305439331,956,2016-08-24
database-management,4.479629629629629,540,2015-09-23
datasciencemathskills,4.449943117178612,1758,2017-01-15
decision-making,4.5073995771670194,946,2016-08-24
deep-neural-network,4.801784266017843,6165,2017-08-12
democracia,4.860091743119266,436,2015-10-21
dental-medicine-penn,4.8530805687203795,211,2016-05-31
dentistry101,4.84375,32,2019-03-22
dermatology,4.077922077922078,77,2019-05-13
design-strategy,4.622222222222222,135,2018-06-12
develop-your-musicianship,4.84789644012945,309,2016-05-30
devops-culture-and-mindset,4.8108108108108105,74,2018-12-31
digital-advertising-landscape,4.488888888888889,45,2020-01-14
digital-business-models,4.495412844036697,109,2017-01-15
dino101,4.9221476510067115,745,2016-09-18
discrete-optimization,4.833333333333333,120,2016-10-16
diversity-inclusion-workplace,4.658333333333333,120,2017-04-13
django-database-web-apps,4.628787878787879,132,2020-07-21
dog-emotion-and-cognition,4.661259541984733,1048,2015-08-12
droits-de-lhomme,4.858173076923077,416,2016-03-24
drug-commercialization,4.6092715231788075,151,2017-01-01
drug-development,4.520766773162939,313,2016-11-13
drug-discovery,4.580310880829016,386,2016-10-29
ds,4.0,355,2017-02-10
duke-behavioral-finance,4.124386252045826,611,2016-08-02
duke-programming-web,4.533483146067415,2225,2015-09-17
dyslexia-difficulties,4.747282608695652,368,2015-09-03
ecology-conservation,4.852362204724409,508,2018-04-17
effective-compliance-programs,4.90566037735849,53,2019-04-13
einstein-relativity,4.899135446685879,694,2016-09-24
elearning,4.542168674698795,83,2016-11-17
electricity,4.682926829268292,164,2017-07-14
electronics,4.671309192200557,359,2016-05-31
embedded-software-hardware,4.368421052631579,57,2018-11-18
emt-foundations,4.844262295081967,122,2019-01-24
enfant-developpement,4.91588785046729,107,2019-10-05
engineering-health-yoga-physiology,4.701298701298701,77,2019-10-07
engineering-mechanics-statics,4.764383561643836,730,2015-08-14
english-composition,4.569832402234637,179,2016-05-26
english-principles,4.91411501120239,2678,2015-10-12
enlinea,4.896551724137931,58,2020-08-31
enterprise-architecture,4.545454545454546,33,2020-01-10
entrepreneur-changement,4.745762711864407,177,2015-09-05
entrepreneurship-strategy,1.0,6,2019-05-01
entreprise-changement-climatique,5.0,2,2020-09-30
environmental-law,4.871892925430211,523,2015-08-17
epidemic-pandemic-outbreak,4.737179487179487,468,2015-09-26
epidemiology,4.6520710059171595,845,2015-08-08
epidemiology-tools,4.635371179039302,458,2020-01-13
epigenetics,1.0,6,2016-03-22
equine,4.892857142857143,56,2018-07-24
erasmus-econometrics,4.465,200,2015-11-03
essentials-global-health,4.857651245551601,281,2016-12-05
estrategia-marketing-digital,4.709976798143852,431,2018-04-02
etudier-en-france,4.845121951219512,820,2016-12-09
european-law-fundamentals,4.709219858156028,141,2016-01-16
everyday-chinese-medicine,4.709302325581396,172,2017-09-26
everyday-excel-part-1,4.755775577557756,303,2020-04-07
everyday-excel-part-2,4.95,40,2020-05-12
everyday-parenting,4.929530201342282,596,2017-08-17
excel-advanced,4.6825,800,2018-01-04
excel-aplicado-negocios-avanzado,4.719626168224299,642,2017-11-16
excel-data-analysis,4.675745784695201,1542,2016-09-26
excel-data-analysis-fundamentals,4.587628865979381,97,2020-06-21
excel-essentials,4.888301477565406,7377,2017-11-06
excel-intermediate-1,4.8965360072926165,2194,2017-11-09
excel-intermediate-2,4.731417244796829,1009,2017-11-01
excel-para-negocios,4.8064,1250,2016-09-26
excel-vba-for-creative-problem-solving-part-1,4.817808219178082,730,2017-12-31
excellence-operationnelle,4.73469387755102,98,2018-07-06
exploring-renewable-energy,4.790322580645161,62,2020-01-26
exposure-photography,4.727357609710551,1071,2016-02-11
family-planning,4.605263157894737,380,2016-08-08
fashion-design,4.8279773156899815,529,2017-09-30
fe-exam,4.393939393939394,132,2015-09-29
feminism-social-justice,4.818998716302953,779,2019-03-12
finance-for-non-finance,4.814516129032258,372,2016-10-14
finance-for-non-financial-managers,4.130434782608695,69,2017-02-10
finance-fundamentals,3.888888888888889,9,2020-05-25
finance-healthcare-managers,4.252336448598131,107,2018-07-17
financial-engineering-1,4.365196078431373,408,2015-08-08
financial-markets-global,4.811454311454312,3108,2017-07-14
financial-planning,4.414634146341464,82,2017-02-08
finanzas-empresariales,4.898058252427185,1442,2015-10-22
finanzas-personales,4.803474903474903,2590,2015-08-07
finding-purpose-and-meaning-in-life,4.795221843003413,293,2020-04-21
fintechlawandpolicy,4.825688073394495,109,2018-08-06
fondamentaux-negociation,4.863013698630137,73,2018-07-11
food-and-health,4.693655589123867,4965,2016-01-18
food-beverage-management,4.815384615384615,715,2015-09-14
forensic-accounting,4.701030927835052,873,2016-02-03
forensic-science,4.84593023255814,344,2016-06-30
foundations-big-data-analysis-sql,4.8152866242038215,157,2019-06-29
foundations-of-mindfulness,4.82051282051282,39,2020-07-09
front-end-react,4.602787456445993,574,2018-06-14
fundamental-machine-learning-healthcare,4.9,10,2020-09-09
fundamentals-of-graphic-design,4.779751332149201,2815,2015-10-15
fundamentals-of-reinforcement-learning,4.689655172413793,377,2019-07-30
game-development,4.751980982567353,1262,2015-09-07
gamification,4.75,672,2015-11-09
gcp-big-data-ml-fundamentals,4.553171196948021,2097,2017-03-10
gcp-exploring-preparing-data-bigquery,4.4573170731707314,328,2017-11-09
gcp-fundamentals,4.694018534119629,5935,2016-12-21
gcp-infrastructure-core-services,4.650331125827814,755,2017-07-06
gcp-infrastructure-foundation,4.707152496626181,1482,2017-06-30
gcp-infrastructure-scaling-automation,4.581430745814307,657,2017-07-14
gender-sexuality,4.650406504065041,123,2017-06-21
genetics-evolution,4.840304182509506,263,2015-11-29
geopolitics-europe,3.7349397590361444,83,2016-11-06
gestion-organizaciones-efectivas,4.7560975609756095,615,2015-10-07
gestionar-personas,4.84984520123839,646,2016-04-04
gestionempresarialpyme,4.8560090702947845,1764,2015-08-12
getinmooc,4.780898876404494,178,2017-05-19
getting-started-with-essay-writing,4.673352435530086,698,2015-10-20
